"","Entity","Code","Year","Deaths - Sex: all - Age: all - Variant: estimates","Deaths - Sex: all - Age: all - Variant: medium"
"2947","Sierra Leone","SLE",1960,70505,NA
"2948","Sierra Leone","SLE",1965,72497,NA
"2949","Sierra Leone","SLE",1970,73631,NA
"2950","Sierra Leone","SLE",1975,74619,NA
"2951","Sierra Leone","SLE",1980,76303,NA
"2952","Sierra Leone","SLE",1985,81915,NA
"2953","Sierra Leone","SLE",1990,90918,NA
"2954","Sierra Leone","SLE",1995,96242,NA
"2955","Sierra Leone","SLE",2000,89931,NA
"2956","Sierra Leone","SLE",2005,96015,NA
"2957","Sierra Leone","SLE",2010,84203,NA
"2958","Sierra Leone","SLE",2015,78359,NA
"2959","Sierra Leone","SLE",2020,76540,NA
"2960","Sierra Leone","SLE",2021,76745,NA
"2961","Singapore","SGP",1955,11294,NA
"2962","Singapore","SGP",1960,9606,NA
"2963","Singapore","SGP",1965,9302,NA
"2964","Singapore","SGP",1970,10550,NA
"2965","Singapore","SGP",1975,10958,NA
"2966","Singapore","SGP",1980,12318,NA
"2967","Singapore","SGP",1985,12927,NA
"2968","Singapore","SGP",1990,14572,NA
"2969","Singapore","SGP",1995,17416,NA
"2970","Singapore","SGP",2000,16392,NA
"2971","Singapore","SGP",2005,17710,NA
"2972","Singapore","SGP",2010,20528,NA
"2973","Singapore","SGP",2015,23533,NA
"2974","Singapore","SGP",2020,29992,NA
"2975","Singapore","SGP",2021,31862,NA
"2976","Sint Maarten (Dutch part)","SXM",1955,23,NA
"2977","Sint Maarten (Dutch part)","SXM",1960,28,NA
"2978","Sint Maarten (Dutch part)","SXM",1965,34,NA
"2979","Sint Maarten (Dutch part)","SXM",1970,31,NA
"2980","Sint Maarten (Dutch part)","SXM",1975,38,NA
"2981","Sint Maarten (Dutch part)","SXM",1980,57,NA
"2982","Sint Maarten (Dutch part)","SXM",1985,71,NA
"2983","Sint Maarten (Dutch part)","SXM",1990,102,NA
"2984","Sint Maarten (Dutch part)","SXM",1995,127,NA
"2985","Sint Maarten (Dutch part)","SXM",2000,115,NA
"2986","Sint Maarten (Dutch part)","SXM",2005,121,NA
"2987","Sint Maarten (Dutch part)","SXM",2010,160,NA
"2988","Sint Maarten (Dutch part)","SXM",2015,163,NA
"2989","Sint Maarten (Dutch part)","SXM",2020,296,NA
"2990","Sint Maarten (Dutch part)","SXM",2021,339,NA
"2991","Slovakia","SVK",1955,32912,NA
"2992","Slovakia","SVK",1960,31645,NA
"2993","Slovakia","SVK",1965,35894,NA
"2994","Slovakia","SVK",1970,42219,NA
"2995","Slovakia","SVK",1975,45281,NA
"2996","Slovakia","SVK",1980,50604,NA
"2997","Slovakia","SVK",1985,52482,NA
"2998","Slovakia","SVK",1990,54643,NA
"2999","Slovakia","SVK",1995,52630,NA
"3000","Slovakia","SVK",2000,52743,NA
"3001","Slovakia","SVK",2005,53452,NA
"3002","Slovakia","SVK",2010,53387,NA
"3003","Slovakia","SVK",2015,53749,NA
"3004","Slovakia","SVK",2020,59217,NA
"3005","Slovenia","SVN",1960,16835,NA
"3006","Slovenia","SVN",1965,16890,NA
"3007","Slovenia","SVN",1970,17642,NA
"3008","Slovenia","SVN",1975,18559,NA
"3009","Slovenia","SVN",1980,19674,NA
"3010","Slovenia","SVN",1985,20379,NA
"3011","Slovenia","SVN",1990,18733,NA
"3012","Slovenia","SVN",1995,18880,NA
"3013","Slovenia","SVN",2000,18334,NA
"3014","Slovenia","SVN",2005,18445,NA
"3015","Slovenia","SVN",2010,18364,NA
"3016","Slovenia","SVN",2015,19715,NA
"3017","Slovenia","SVN",2020,24030,NA
"3018","Slovenia","SVN",2021,22948,NA
"3019","Small island developing states (SIDS)",NA,1955,384790,NA
"3020","Small island developing states (SIDS)",NA,1960,379751,NA
"3021","Small island developing states (SIDS)",NA,1965,382234,NA
"3022","Small island developing states (SIDS)",NA,1970,372488,NA
"3023","Small island developing states (SIDS)",NA,1975,379752,NA
"3024","Small island developing states (SIDS)",NA,1980,392295,NA
"3025","Small island developing states (SIDS)",NA,1985,400253,NA
"3026","Small island developing states (SIDS)",NA,1990,407181,NA
"3027","Small island developing states (SIDS)",NA,1995,421788,NA
"3028","Small island developing states (SIDS)",NA,2000,427990,NA
"3029","Small island developing states (SIDS)",NA,2005,446636,NA
"3030","Small island developing states (SIDS)",NA,2010,556007,NA
"3031","Small island developing states (SIDS)",NA,2015,494167,NA
"3032","Small island developing states (SIDS)",NA,2020,553881,NA
"3033","Small island developing states (SIDS)",NA,2021,633128,NA
"3034","Solomon Islands","SLB",1955,2432,NA
"3035","Solomon Islands","SLB",1960,2282,NA
"3036","Solomon Islands","SLB",1965,2246,NA
"3037","Solomon Islands","SLB",1970,2121,NA
"3038","Solomon Islands","SLB",1975,2161,NA
"3039","Solomon Islands","SLB",1980,1869,NA
"3040","Solomon Islands","SLB",1985,1981,NA
"3041","Solomon Islands","SLB",1990,2125,NA
"3042","Solomon Islands","SLB",1995,2315,NA
"3043","Solomon Islands","SLB",2000,2560,NA
"3044","Solomon Islands","SLB",2005,2821,NA
"3045","Solomon Islands","SLB",2010,3041,NA
"3046","Solomon Islands","SLB",2015,3227,NA
"3047","Solomon Islands","SLB",2020,3515,NA
"3048","Solomon Islands","SLB",2021,3561,NA
"3049","Somalia","SOM",1955,55877,NA
"3050","Somalia","SOM",1960,60662,NA
"3051","Somalia","SOM",1965,65840,NA
"3052","Somalia","SOM",1970,71911,NA
"3053","Somalia","SOM",1975,86447,NA
"3054","Somalia","SOM",1980,106331,NA
"3055","Somalia","SOM",1985,116889,NA
"3056","Somalia","SOM",1990,128309,NA
"3057","Somalia","SOM",1995,113099,NA
"3058","Somalia","SOM",2000,137220,NA
"3059","Somalia","SOM",2005,163301,NA
"3060","Somalia","SOM",2010,185415,NA
"3061","Somalia","SOM",2015,171470,NA
"3062","Somalia","SOM",2020,188459,NA
"3063","Somalia","SOM",2021,198038,NA
"3064","South Africa","ZAF",1955,252627,NA
"3065","South Africa","ZAF",1960,232405,NA
"3066","South Africa","ZAF",1965,250816,NA
"3067","South Africa","ZAF",1970,273496,NA
"3068","South Africa","ZAF",1975,285288,NA
"3069","South Africa","ZAF",1980,288820,NA
"3070","South Africa","ZAF",1985,293713,NA
"3071","South Africa","ZAF",1990,319227,NA
"3072","South Africa","ZAF",1995,369071,NA
"3073","South Africa","ZAF",2000,476555,NA
"3074","South Africa","ZAF",2005,645838,NA
"3075","South Africa","ZAF",2010,582529,NA
"3076","South Africa","ZAF",2015,514293,NA
"3077","South Africa","ZAF",2020,553914,NA
"3078","South Africa","ZAF",2021,678798,NA
"3079","South Korea","KOR",1955,351891,NA
"3080","South Korea","KOR",1960,326808,NA
"3081","South Korea","KOR",1965,294509,NA
"3082","South Korea","KOR",1970,261598,NA
"3083","South Korea","KOR",1975,255831,NA
"3084","South Korea","KOR",1980,267925,NA
"3085","South Korea","KOR",1985,247294,NA
"3086","South Korea","KOR",1990,234766,NA
"3087","South Korea","KOR",1995,241909,NA
"3088","South Korea","KOR",2000,236180,NA
"3089","South Korea","KOR",2005,244811,NA
"3090","South Korea","KOR",2010,256016,NA
"3091","South Korea","KOR",2015,278713,NA
"3092","South Korea","KOR",2020,321110,NA
"3093","South Sudan","SSD",1960,104977,NA
"3094","South Sudan","SSD",1965,112994,NA
"3095","South Sudan","SSD",1970,133469,NA
"3096","South Sudan","SSD",1975,101351,NA
"3097","South Sudan","SSD",1980,106189,NA
"3098","South Sudan","SSD",1985,144147,NA
"3099","South Sudan","SSD",1990,161640,NA
"3100","South Sudan","SSD",1995,173177,NA
"3101","South Sudan","SSD",2000,112979,NA
"3102","South Sudan","SSD",2005,106554,NA
"3103","South Sudan","SSD",2010,111744,NA
"3104","South Sudan","SSD",2015,124768,NA
"3105","South Sudan","SSD",2020,114527,NA
"3106","South Sudan","SSD",2021,118956,NA
"3107","Spain","ESP",1955,275345,NA
"3108","Spain","ESP",1960,270174,NA
"3109","Spain","ESP",1965,273446,NA
"3110","Spain","ESP",1970,284846,NA
"3111","Spain","ESP",1975,296718,NA
"3112","Spain","ESP",1980,287498,NA
"3113","Spain","ESP",1985,311467,NA
"3114","Spain","ESP",1990,331236,NA
"3115","Spain","ESP",1995,343049,NA
"3116","Spain","ESP",2000,357583,NA
"3117","Spain","ESP",2005,384161,NA
"3118","Spain","ESP",2010,380417,NA
"3119","Spain","ESP",2015,420377,NA
"3120","Spain","ESP",2020,493075,NA
"3121","Spain","ESP",2021,454123,NA
"3122","Sri Lanka","LKA",1955,131593,NA
"3123","Sri Lanka","LKA",1960,108578,NA
"3124","Sri Lanka","LKA",1965,101633,NA
"3125","Sri Lanka","LKA",1970,94057,NA
"3126","Sri Lanka","LKA",1975,98258,NA
"3127","Sri Lanka","LKA",1980,96865,NA
"3128","Sri Lanka","LKA",1985,93921,NA
"3129","Sri Lanka","LKA",1990,102009,NA
"3130","Sri Lanka","LKA",1995,115531,NA
"3131","Sri Lanka","LKA",2000,152525,NA
"3132","Sri Lanka","LKA",2005,147508,NA
"3133","Sri Lanka","LKA",2010,152389,NA
"3134","Sri Lanka","LKA",2015,149258,NA
"3135","Sri Lanka","LKA",2020,153533,NA
"3136","Sri Lanka","LKA",2021,160593,NA
"3137","Sudan","SDN",1955,123014,NA
"3138","Sudan","SDN",1960,150638,NA
"3139","Sudan","SDN",1965,172441,NA
"3140","Sudan","SDN",1970,209172,NA
"3141","Sudan","SDN",1975,182793,NA
"3142","Sudan","SDN",1980,217179,NA
"3143","Sudan","SDN",1985,346906,NA
"3144","Sudan","SDN",1990,314494,NA
"3145","Sudan","SDN",1995,307660,NA
"3146","Sudan","SDN",2000,255520,NA
"3147","Sudan","SDN",2005,297432,NA
"3148","Sudan","SDN",2010,259386,NA
"3149","Sudan","SDN",2015,267594,NA
"3150","Sudan","SDN",2020,296441,NA
"3151","Suriname","SUR",1960,3232,NA
"3152","Suriname","SUR",1965,3741,NA
"3153","Suriname","SUR",1970,3790,NA
"3154","Suriname","SUR",1975,3757,NA
"3155","Suriname","SUR",1980,3587,NA
"3156","Suriname","SUR",1985,3270,NA
"3157","Suriname","SUR",1990,3148,NA
"3158","Suriname","SUR",1995,3028,NA
"3159","Suriname","SUR",2000,3734,NA
"3160","Suriname","SUR",2005,4244,NA
"3161","Suriname","SUR",2010,3886,NA
"3162","Suriname","SUR",2015,4156,NA
"3163","Suriname","SUR",2020,4273,NA
"3164","Suriname","SUR",2021,5315,NA
"3165","Sweden","SWE",1955,68704,NA
"3166","Sweden","SWE",1960,75085,NA
"3167","Sweden","SWE",1965,78217,NA
"3168","Sweden","SWE",1970,80035,NA
"3169","Sweden","SWE",1975,88206,NA
"3170","Sweden","SWE",1980,91785,NA
"3171","Sweden","SWE",1985,94119,NA
"3172","Sweden","SWE",1990,95127,NA
"3173","Sweden","SWE",1995,93849,NA
"3174","Sweden","SWE",2000,93378,NA
"3175","Sweden","SWE",2005,91915,NA
"3176","Sweden","SWE",2010,90603,NA
"3177","Sweden","SWE",2015,90926,NA
"3178","Sweden","SWE",2020,98316,NA
"3179","Sweden","SWE",2021,92278,NA
"3180","Switzerland","CHE",1955,50266,NA
"3181","Switzerland","CHE",1960,52093,NA
"3182","Switzerland","CHE",1965,55500,NA
"3183","Switzerland","CHE",1970,57071,NA
"3184","Switzerland","CHE",1975,55947,NA
"3185","Switzerland","CHE",1980,59070,NA
"3186","Switzerland","CHE",1985,59536,NA
"3187","Switzerland","CHE",1990,63756,NA
"3188","Switzerland","CHE",1995,63386,NA
"3189","Switzerland","CHE",2000,62523,NA
"3190","Switzerland","CHE",2005,61062,NA
"3191","Switzerland","CHE",2010,62650,NA
"3192","Switzerland","CHE",2015,67634,NA
"3193","Switzerland","CHE",2020,75992,NA
"3194","Switzerland","CHE",2021,69734,NA
"3195","Syria","SYR",1955,85096,NA
"3196","Syria","SYR",1960,75233,NA
"3197","Syria","SYR",1965,70305,NA
"3198","Syria","SYR",1970,66730,NA
"3199","Syria","SYR",1975,63220,NA
"3200","Syria","SYR",1980,60019,NA
"3201","Syria","SYR",1985,57228,NA
"3202","Syria","SYR",1990,59390,NA
"3203","Syria","SYR",1995,64499,NA
"3204","Syria","SYR",2000,72012,NA
"3205","Syria","SYR",2005,72918,NA
"3206","Syria","SYR",2010,82765,NA
"3207","Syria","SYR",2015,143047,NA
"3208","Syria","SYR",2020,103032,NA
"3209","Syria","SYR",2021,108607,NA
"3210","Taiwan","TWN",1955,83967,NA
"3211","Taiwan","TWN",1960,78134,NA
"3212","Taiwan","TWN",1965,71712,NA
"3213","Taiwan","TWN",1970,67592,NA
"3214","Taiwan","TWN",1975,71827,NA
"3215","Taiwan","TWN",1980,82177,NA
"3216","Taiwan","TWN",1985,90317,NA
"3217","Taiwan","TWN",1990,104626,NA
"3218","Taiwan","TWN",1995,120230,NA
"3219","Taiwan","TWN",2000,126381,NA
"3220","Taiwan","TWN",2005,140688,NA
"3221","Taiwan","TWN",2010,145178,NA
"3222","Taiwan","TWN",2015,159321,NA
"3223","Taiwan","TWN",2020,172149,NA
"3224","Taiwan","TWN",2021,176533,NA
"3225","Tajikistan","TJK",1955,30457,NA
"3226","Tajikistan","TJK",1960,35437,NA
"3227","Tajikistan","TJK",1965,37686,NA
"3228","Tajikistan","TJK",1970,38740,NA
"3229","Tajikistan","TJK",1975,39433,NA
"3230","Tajikistan","TJK",1980,44187,NA
"3231","Tajikistan","TJK",1985,48437,NA
"3232","Tajikistan","TJK",1990,52655,NA
"3233","Tajikistan","TJK",1995,59438,NA
"3234","Tajikistan","TJK",2000,47362,NA
"3235","Tajikistan","TJK",2005,42465,NA
"3236","Tajikistan","TJK",2010,45345,NA
"3237","Tajikistan","TJK",2015,46344,NA
"3238","Tajikistan","TJK",2020,58418,NA
"3239","Tanzania","TZA",1960,210777,NA
"3240","Tanzania","TZA",1965,235256,NA
"3241","Tanzania","TZA",1970,252262,NA
"3242","Tanzania","TZA",1975,277104,NA
"3243","Tanzania","TZA",1980,297366,NA
"3244","Tanzania","TZA",1985,337443,NA
"3245","Tanzania","TZA",1990,380087,NA
"3246","Tanzania","TZA",1995,439605,NA
"3247","Tanzania","TZA",2000,456859,NA
"3248","Tanzania","TZA",2005,429886,NA
"3249","Tanzania","TZA",2010,401185,NA
"3250","Tanzania","TZA",2015,365045,NA
"3251","Tanzania","TZA",2020,381393,NA
"3252","Tanzania","TZA",2021,395720,NA
"3253","Thailand","THA",1955,407441,NA
"3254","Thailand","THA",1960,391987,NA
"3255","Thailand","THA",1965,381794,NA
"3256","Thailand","THA",1970,369462,NA
"3257","Thailand","THA",1975,342433,NA
"3258","Thailand","THA",1980,332147,NA
"3259","Thailand","THA",1985,310818,NA
"3260","Thailand","THA",1990,309013,NA
"3261","Thailand","THA",1995,354185,NA
"3262","Thailand","THA",2000,380684,NA
"3263","Thailand","THA",2005,415962,NA
"3264","Thailand","THA",2010,430364,NA
"3265","Thailand","THA",2015,472520,NA
"3266","Thailand","THA",2020,519058,NA
"3267","Togo","TGO",1960,37196,NA
"3268","Togo","TGO",1965,38509,NA
"3269","Togo","TGO",1970,42337,NA
"3270","Togo","TGO",1975,43422,NA
"3271","Togo","TGO",1980,43351,NA
"3272","Togo","TGO",1985,45195,NA
"3273","Togo","TGO",1990,49259,NA
"3274","Togo","TGO",1995,53301,NA
"3275","Togo","TGO",2000,59569,NA
"3276","Togo","TGO",2005,63273,NA
"3277","Togo","TGO",2010,67886,NA
"3278","Togo","TGO",2015,68513,NA
"3279","Togo","TGO",2020,71077,NA
"3280","Tokelau","TKL",1960,20,NA
"3281","Tokelau","TKL",1965,19,NA
"3282","Tokelau","TKL",1970,17,NA
"3283","Tokelau","TKL",1975,16,NA
"3284","Tokelau","TKL",1980,15,NA
"3285","Tokelau","TKL",1985,14,NA
"3286","Tokelau","TKL",1990,13,NA
"3287","Tokelau","TKL",1995,13,NA
"3288","Tokelau","TKL",2000,13,NA
"3289","Tokelau","TKL",2005,13,NA
"3290","Tokelau","TKL",2010,13,NA
"3291","Tokelau","TKL",2015,13,NA
"3292","Tokelau","TKL",2020,13,NA
"3293","Tokelau","TKL",2021,14,NA
"3294","Tonga","TON",1955,723,NA
"3295","Tonga","TON",1960,725,NA
"3296","Tonga","TON",1965,704,NA
"3297","Tonga","TON",1970,641,NA
"3298","Tonga","TON",1975,625,NA
"3299","Tonga","TON",1980,646,NA
"3300","Tonga","TON",1985,668,NA
"3301","Tonga","TON",1990,683,NA
"3302","Tonga","TON",1995,690,NA
"3303","Tonga","TON",2000,699,NA
"3304","Tonga","TON",2005,709,NA
"3305","Tonga","TON",2010,716,NA
"3306","Tonga","TON",2015,728,NA
"3307","Tonga","TON",2020,734,NA
"3308","Trinidad and Tobago","TTO",1960,6833,NA
"3309","Trinidad and Tobago","TTO",1965,7159,NA
"3310","Trinidad and Tobago","TTO",1970,7636,NA
"3311","Trinidad and Tobago","TTO",1975,7346,NA
"3312","Trinidad and Tobago","TTO",1980,7798,NA
"3313","Trinidad and Tobago","TTO",1985,8432,NA
"3314","Trinidad and Tobago","TTO",1990,8501,NA
"3315","Trinidad and Tobago","TTO",1995,8524,NA
"3316","Trinidad and Tobago","TTO",2000,9317,NA
"3317","Trinidad and Tobago","TTO",2005,8969,NA
"3318","Trinidad and Tobago","TTO",2010,9467,NA
"3319","Trinidad and Tobago","TTO",2015,9926,NA
"3320","Trinidad and Tobago","TTO",2020,11982,NA
"3321","Trinidad and Tobago","TTO",2021,13917,NA
"3322","Tunisia","TUN",1955,98400,NA
"3323","Tunisia","TUN",1960,91090,NA
"3324","Tunisia","TUN",1965,80226,NA
"3325","Tunisia","TUN",1970,68385,NA
"3326","Tunisia","TUN",1975,58344,NA
"3327","Tunisia","TUN",1980,51880,NA
"3328","Tunisia","TUN",1985,48438,NA
"3329","Tunisia","TUN",1990,46403,NA
"3330","Tunisia","TUN",1995,46291,NA
"3331","Tunisia","TUN",2000,47265,NA
"3332","Tunisia","TUN",2005,51368,NA
"3333","Tunisia","TUN",2010,58150,NA
"3334","Tunisia","TUN",2015,67233,NA
"3335","Tunisia","TUN",2020,82136,NA
"3336","Tunisia","TUN",2021,96709,NA
"3337","Turkey","TUR",1955,471984,NA
"3338","Turkey","TUR",1960,488850,NA
"3339","Turkey","TUR",1965,468571,NA
"3340","Turkey","TUR",1970,470703,NA
"3341","Turkey","TUR",1975,462021,NA
"3342","Turkey","TUR",1980,430666,NA
"3343","Turkey","TUR",1985,394090,NA
"3344","Turkey","TUR",1990,371685,NA
"3345","Turkey","TUR",1995,369663,NA
"3346","Turkey","TUR",2000,360256,NA
"3347","Turkey","TUR",2005,367664,NA
"3348","Turkey","TUR",2010,384167,NA
"3349","Turkey","TUR",2015,407307,NA
"3350","Turkey","TUR",2020,536806,NA
"3351","Turkey","TUR",2021,542597,NA
"3352","Turkmenistan","TKM",1955,24801,NA
"3353","Turkmenistan","TKM",1960,27261,NA
"3354","Turkmenistan","TKM",1965,27693,NA
"3355","Turkmenistan","TKM",1970,26728,NA
"3356","Turkmenistan","TKM",1975,27088,NA
"3357","Turkmenistan","TKM",1980,28153,NA
"3358","Turkmenistan","TKM",1985,30297,NA
"3359","Turkmenistan","TKM",1990,30709,NA
"3360","Turkmenistan","TKM",1995,32913,NA
"3361","Turkmenistan","TKM",2000,31782,NA
"3362","Turkmenistan","TKM",2005,33597,NA
"3363","Turkmenistan","TKM",2010,33638,NA
"3364","Turkmenistan","TKM",2015,37687,NA
"3365","Turkmenistan","TKM",2020,42735,NA
"3366","Turks and Caicos Islands","TCA",1960,85,NA
"3367","Turks and Caicos Islands","TCA",1965,64,NA
"3368","Turks and Caicos Islands","TCA",1970,76,NA
"3369","Turks and Caicos Islands","TCA",1975,45,NA
"3370","Turks and Caicos Islands","TCA",1980,51,NA
"3371","Turks and Caicos Islands","TCA",1985,60,NA
"3372","Turks and Caicos Islands","TCA",1990,72,NA
"3373","Turks and Caicos Islands","TCA",1995,93,NA
"3374","Turks and Caicos Islands","TCA",2000,83,NA
"3375","Turks and Caicos Islands","TCA",2005,90,NA
"3376","Turks and Caicos Islands","TCA",2010,164,NA
"3377","Turks and Caicos Islands","TCA",2015,244,NA
"3378","Turks and Caicos Islands","TCA",2020,388,NA
"3379","Tuvalu","TUV",1960,104,NA
"3380","Tuvalu","TUV",1965,94,NA
"3381","Tuvalu","TUV",1970,78,NA
"3382","Tuvalu","TUV",1975,70,NA
"3383","Tuvalu","TUV",1980,77,NA
"3384","Tuvalu","TUV",1985,86,NA
"3385","Tuvalu","TUV",1990,96,NA
"3386","Tuvalu","TUV",1995,96,NA
"3387","Tuvalu","TUV",2000,98,NA
"3388","Tuvalu","TUV",2005,98,NA
"3389","Tuvalu","TUV",2010,105,NA
"3390","Tuvalu","TUV",2015,111,NA
"3391","Tuvalu","TUV",2020,113,NA
"3392","Tuvalu","TUV",2021,114,NA
"3393","Uganda","UGA",1955,150061,NA
"3394","Uganda","UGA",1960,147006,NA
"3395","Uganda","UGA",1965,151717,NA
"3396","Uganda","UGA",1970,169065,NA
"3397","Uganda","UGA",1975,218324,NA
"3398","Uganda","UGA",1980,281867,NA
"3399","Uganda","UGA",1985,284372,NA
"3400","Uganda","UGA",1990,318505,NA
"3401","Uganda","UGA",1995,359857,NA
"3402","Uganda","UGA",2000,367928,NA
"3403","Uganda","UGA",2005,326161,NA
"3404","Uganda","UGA",2010,286470,NA
"3405","Uganda","UGA",2015,249412,NA
"3406","Uganda","UGA",2020,259787,NA
"3407","Uganda","UGA",2021,269420,NA
"3408","Ukraine","UKR",1955,402040,NA
"3409","Ukraine","UKR",1960,321030,NA
"3410","Ukraine","UKR",1965,361785,NA
"3411","Ukraine","UKR",1970,444715,NA
"3412","Ukraine","UKR",1975,487958,NA
"3413","Ukraine","UKR",1980,567808,NA
"3414","Ukraine","UKR",1985,617927,NA
"3415","Ukraine","UKR",1990,629736,NA
"3416","Ukraine","UKR",1995,791491,NA
"3417","Ukraine","UKR",2000,758336,NA
"3418","Ukraine","UKR",2005,780775,NA
"3419","Ukraine","UKR",2010,697954,NA
"3420","Ukraine","UKR",2015,596083,NA
"3421","Ukraine","UKR",2020,698849,NA
"3422","Ukraine","UKR",2021,731364,NA
"3423","United Arab Emirates","ARE",1955,1929,NA
"3424","United Arab Emirates","ARE",1960,2043,NA
"3425","United Arab Emirates","ARE",1965,2030,NA
"3426","United Arab Emirates","ARE",1970,2138,NA
"3427","United Arab Emirates","ARE",1975,2952,NA
"3428","United Arab Emirates","ARE",1980,3812,NA
"3429","United Arab Emirates","ARE",1985,4232,NA
"3430","United Arab Emirates","ARE",1990,5054,NA
"3431","United Arab Emirates","ARE",1995,6148,NA
"3432","United Arab Emirates","ARE",2000,6762,NA
"3433","United Arab Emirates","ARE",2005,6429,NA
"3434","United Arab Emirates","ARE",2010,6755,NA
"3435","United Arab Emirates","ARE",2015,9044,NA
"3436","United Arab Emirates","ARE",2020,16406,NA
"3437","United Kingdom","GBR",1960,603662,NA
"3438","United Kingdom","GBR",1965,625005,NA
"3439","United Kingdom","GBR",1970,655267,NA
"3440","United Kingdom","GBR",1975,662172,NA
"3441","United Kingdom","GBR",1980,661807,NA
"3442","United Kingdom","GBR",1985,672170,NA
"3443","United Kingdom","GBR",1990,641688,NA
"3444","United Kingdom","GBR",1995,644410,NA
"3445","United Kingdom","GBR",2000,607061,NA
"3446","United Kingdom","GBR",2005,581215,NA
"3447","United Kingdom","GBR",2010,560655,NA
"3448","United Kingdom","GBR",2015,601754,NA
"3449","United Kingdom","GBR",2020,672991,NA
"3450","United Kingdom","GBR",2021,652723,NA
"3451","United States","USA",1955,1496520,NA
"3452","United States","USA",1960,1671107,NA
"3453","United States","USA",1965,1786104,NA
"3454","United States","USA",1970,1883108,NA
"3455","United States","USA",1975,1853600,NA
"3456","United States","USA",1980,1953595,NA
"3457","United States","USA",1985,2058608,NA
"3458","United States","USA",1990,2124914,NA
"3459","United States","USA",1995,2293366,NA
"3460","United States","USA",2000,2390401,NA
"3461","United States","USA",2005,2442263,NA
"3462","United States","USA",2010,2469925,NA
"3463","United States","USA",2015,2699590,NA
"3464","United States","USA",2020,3238518,NA
"3465","United States Virgin Islands","VIR",1960,354,NA
"3466","United States Virgin Islands","VIR",1965,429,NA
"3467","United States Virgin Islands","VIR",1970,488,NA
"3468","United States Virgin Islands","VIR",1975,529,NA
"3469","United States Virgin Islands","VIR",1980,623,NA
"3470","United States Virgin Islands","VIR",1985,646,NA
"3471","United States Virgin Islands","VIR",1990,648,NA
"3472","United States Virgin Islands","VIR",1995,781,NA
"3473","United States Virgin Islands","VIR",2000,909,NA
"3474","United States Virgin Islands","VIR",2005,1043,NA
"3475","United States Virgin Islands","VIR",2010,1222,NA
"3476","United States Virgin Islands","VIR",2015,1243,NA
"3477","United States Virgin Islands","VIR",2020,1375,NA
"3478","United States Virgin Islands","VIR",2021,1426,NA
"3479","Upper-middle-income countries",NA,1955,17687756,NA
"3480","Upper-middle-income countries",NA,1960,24909378,NA
"3481","Upper-middle-income countries",NA,1965,16105830,NA
"3482","Upper-middle-income countries",NA,1970,15589091,NA
"3483","Upper-middle-income countries",NA,1975,14034230,NA
"3484","Upper-middle-income countries",NA,1980,13525987,NA
"3485","Upper-middle-income countries",NA,1985,13702168,NA
"3486","Upper-middle-income countries",NA,1990,14293696,NA
"3487","Upper-middle-income countries",NA,1995,14740065,NA
"3488","Upper-middle-income countries",NA,2000,15187411,NA
"3489","Upper-middle-income countries",NA,2005,15828056,NA
"3490","Upper-middle-income countries",NA,2010,16453203,NA
"3491","Upper-middle-income countries",NA,2015,17257846,NA
"3492","Upper-middle-income countries",NA,2020,19826792,NA
"3493","Upper-middle-income countries",NA,2021,21180532,NA
"3494","Uruguay","URY",1955,24135,NA
"3495","Uruguay","URY",1960,24591,NA
"3496","Uruguay","URY",1965,25759,NA
"3497","Uruguay","URY",1970,26802,NA
"3498","Uruguay","URY",1975,28354,NA
"3499","Uruguay","URY",1980,28196,NA
"3500","Uruguay","URY",1985,28541,NA
"3501","Uruguay","URY",1990,29293,NA
"3502","Uruguay","URY",1995,30080,NA
"3503","Uruguay","URY",2000,30086,NA
"3504","Uruguay","URY",2005,30483,NA
"3505","Uruguay","URY",2010,31447,NA
"3506","Uruguay","URY",2015,32549,NA
"3507","Uruguay","URY",2020,32343,NA
"3508","Uruguay","URY",2021,41681,NA
"3509","Uzbekistan","UZB",1955,112470,NA
"3510","Uzbekistan","UZB",1960,125433,NA
"3511","Uzbekistan","UZB",1965,131219,NA
"3512","Uzbekistan","UZB",1970,131692,NA
"3513","Uzbekistan","UZB",1975,138830,NA
"3514","Uzbekistan","UZB",1980,147704,NA
"3515","Uzbekistan","UZB",1985,153583,NA
"3516","Uzbekistan","UZB",1990,157484,NA
"3517","Uzbekistan","UZB",1995,174870,NA
"3518","Uzbekistan","UZB",2000,171848,NA
"3519","Uzbekistan","UZB",2005,175394,NA
"3520","Uzbekistan","UZB",2010,183059,NA
"3521","Uzbekistan","UZB",2015,192576,NA
"3522","Uzbekistan","UZB",2020,226461,NA
"3523","Vanuatu","VUT",1960,1076,NA
"3524","Vanuatu","VUT",1965,1054,NA
"3525","Vanuatu","VUT",1970,1012,NA
"3526","Vanuatu","VUT",1975,940,NA
"3527","Vanuatu","VUT",1980,1091,NA
"3528","Vanuatu","VUT",1985,1026,NA
"3529","Vanuatu","VUT",1990,1005,NA
"3530","Vanuatu","VUT",1995,1028,NA
"3531","Vanuatu","VUT",2000,1060,NA
"3532","Vanuatu","VUT",2005,1253,NA
"3533","Vanuatu","VUT",2010,1490,NA
"3534","Vanuatu","VUT",2015,1661,NA
"3535","Vanuatu","VUT",2020,1711,NA
"3536","Vanuatu","VUT",2021,1722,NA
